58,लोहिताक्षः,lohitākṣaḥ,Red-eyed
59,प्रतर्दनः,pratardanaḥ,The Supreme destruction
60,प्रभूतस्,prabhūtas,Ever-full
61,त्रिकाकुब्धाम,trikākubdhāma,The support of the three quarters
62,पवित्रम्,pavitram,He who gives purity to the heart
63,मंगलं-परम्,maṃgalaṃ-param,The Supreme auspiciousness
64,ईशानः,īśānaḥ,The controller of the five great elements
65,प्राणदः,prāṇadaḥ,He who gives life
66,प्राणः,prāṇaḥ,He who ever lives
67,ज्येष्ठः,jyeṣṭhaḥ,Older than all
68,श्रेष्ठः,śreṣṭhaḥ,The most glorious
69,प्रजापतिः,prajāpatiḥ,The Lord of all creatures
70,हिरण्यगर्भः,hiraṇyagarbhaḥ,He who is the golden womb
71,भूगर्भः,bhūgarbhaḥ,He who is the womb of the earth
72,माधवः,mādhavaḥ,He who is sweet like honey
73,मधुसूदनः,madhusūdanaḥ,Destroyer of the Madhu demon
74,ईश्वरः,īśvaraḥ,The controller
75,विक्रमी,vikramī,He who is full of prowess
76,धन्वी,dhanvī,He who always has a divine bow
77,मेधावी,medhāvī,Supremely intelligent
78,विक्रमः,vikramaḥ,Valorous
79,क्रमः,kramaḥ,All-pervading
80,अनुत्तमः,anuttamaḥ,Incomparably great
81,दुराधर्षः,durādharṣaḥ,He who cannot be attacked successfully
82,कृतज्ञः,kṛtajñaḥ,He who knows all that is
83,कृतिः,kṛtiḥ,He who rewards all our actions
84,आत्मवान्,ātmavān,The self in all beings
85,सुरेशः,sureśaḥ,The Lord of the devas
86,शरणम्,śaraṇam,The refuge
87,शर्म,śarma,He who is Himself infinite bliss
88,विश्वरेताः,viśvaretāḥ,The seed of the universe
89,प्रजाभवः,prajābhavaḥ,He from whom all praja (population) comes
90,अहः,ahaḥ,He who is the nature of time
91,संवत्सरः,saṃvatsaraḥ,He from whom the concept of time comes
92,व्यालः,vyālaḥ,The serpent (vyaalah) to atheists
93,प्रत्ययः,pratyayaḥ,He whose nature is knowledge
94,सर्वदर्शनः,sarvadarśanaḥ,All-seeing
95,अजः,ajaḥ,Unborn
96,सर्वेश्वरः,sarveśvaraḥ,Controller of all
97,सिद्धः,siddhaḥ,The most famous
98,सिद्धिः,siddhiḥ,He who gives moksha
99,सर्वादिः,sarvādiḥ,The beginning of all
100,अच्युतः,acyutaḥ,Infallible
101,वृषाकपिः,vṛṣākapiḥ,He who lifts the world to dharma
102,अमेयात्मा,ameyātmā,He who manifests in infinite varieties
103,सर्वयोगविनिसृतः,sarvayogavinisṛtaḥ,He who is free from all attachments
104,वसुः,vasuḥ,The support of all elements
105,वसुमनाः,vasumanāḥ,He whose mind is supremely pure
106,सत्यः,satyaḥ,The truth
107,समात्मा,samātmā,He who is the same in all
108,सम्मितः,sammitaḥ,He who has been accepted by authorities
109,समः,samaḥ,Equal
110,अमोघः,amoghaḥ,Ever useful
111,पुण्डरीकाक्षः,puṇḍarīkākṣaḥ,He who dwells in the heart
112,वृषकर्मा,vṛṣakarmā,He whose every act is righteous
113,वृषाकृतिः,vṛṣākṛtiḥ,The form of dharma
114,रुद्रः,rudraḥ,"He who is mightiest of the mighty or He who is ""fierce"""
115,बहुशिरः,bahuśiraḥ,He who has many heads
116,बभ्रुः,babhruḥ,He who rules over all the worlds
117,विश्वयोनिः,viśvayoniḥ,The womb of the universe
118,शुचिश्रवाः,śuciśravāḥ,He who listens only the good and pure
119,अमृतः,amṛtaḥ,Immortal
120,शाश्वतः-स्थाणुः,śāśvataḥ-sthāṇuḥ,Permanent and immovable
121,वरारोहः,varārohaḥ,The most glorious destination
122,महातपः,mahātapaḥ,He of great tapas
123,सर्वगः,sarvagaḥ,All-pervading
124,सर्वविद्भानुः,sarvavidbhānuḥ,All-knowing and effulgent
125,विष्वक्सेनः,viṣvaksenaḥ,He against whom no army can stand
126,जनार्दनः,janārdanaḥ,He who gives joy to good people
127,वेदः,vedaḥ,He who is the Vedas
128,वेदविद्,vedavid,The knower of the Vedas
129,अव्यंगः,avyaṃgaḥ,Without imperfections
130,वेदांगः,vedāṃgaḥ,He whose limbs are the Vedas
131,वेदवित्,vedavit,He who contemplates upon the Vedas
132,कविः,kaviḥ,The seer
133,लोकाध्यक्षः,lokādhyakṣaḥ,He who presides over all lokas
134,सुराध्यक्षः,surādhyakṣaḥ,He who presides over all devas
135,धर्माध्यक्षः,dharmādhyakṣaḥ,He who presides over dharma
136,कृताकृतः,kṛtākṛtaḥ,All that is created and not created
137,चतुरात्मा,caturātmā,The four-fold self
138,चतुर्व्यूहः,caturvyūhaḥ,"Vasudeva, Sankarshan etc."
139,चतुर्दंष्ट्रः,caturdaṃṣṭraḥ,He who has four canines (Nrsimha)
140,चतुर्भुजः,caturbhujaḥ,Four-handed
141,भ्राजिष्णुः,bhrājiṣṇuḥ,Self-effulgent consciousness
142,भोजनम्,bhojanam,He who is the sense-objects
143,भोक्ता,bhoktā,The enjoyer
144,सहिष्णुः,sahiṣṇuḥ,He who can suffer patiently
145,जगदादिजः,jagadādijaḥ,Born at the beginning of the world
146,अनघः,anaghaḥ,Sinless
147,विजयः,vijayaḥ,Victorious
148,जेता,jetā,Ever-successful
149,विश्वयोनिः,viśvayoniḥ,He who incarnates because of the world
150,पुनर्वसुः,punarvasuḥ,He who lives repeatedly in different bodies
151,उपेन्द्रः,upendraḥ,The younger brother of Indra (Vamana)
152,वामनः,vāmanaḥ,He with a dwarf body
153,प्रांशुः,prāṃśuḥ,He with a huge body
154,अमोघः,amoghaḥ,He whose acts are for a great purpose
155,शुचिः,śuciḥ,He who is spotlessly clean
156,ऊर्जितः,ūrjitaḥ,He who has infinite vitality
157,अतीन्द्रः,atīndraḥ,He who surpasses Indra
158,संग्रहः,saṃgrahaḥ,He who holds everything together
159,सर्गः,sargaḥ,He who creates the world from Himself
160,धृतात्मा,dhṛtātmā,Established in Himself
161,नियमः,niyamaḥ,The appointing authority
162,यमः,yamaḥ,The administrator
163,वेद्यः,vedyaḥ,That which is to be known
164,वैद्यः,vaidyaḥ,The Supreme doctor
165,सदायोगी,sadāyogī,Always in yoga
166,वीरहा,vīrahā,He who destroys the mighty heroes
167,माधवः,mādhavaḥ,The Lord of all knowledge
168,मधुः,madhuḥ,Sweet
169,अतीन्द्रियः,atīndriyaḥ,Beyond the sense organs
170,महामायः,mahāmāyaḥ,The Supreme Master of all Maya
171,महोत्साहः,mahotsāhaḥ,The great enthusiast
172,महाबलः,mahābalaḥ,He who has supreme strength
173,महाबुद्धिः,mahābuddhiḥ,He who has supreme intelligence
174,महावीर्यः,mahāvīryaḥ,The supreme essence
175,महाशक्तिः,mahāśaktiḥ,All-powerful
176,महाद्युतिः,mahādyutiḥ,Greatly luminous
177,अनिर्देश्यवपुः,anirdeśyavapuḥ,He whose form is indescribable
178,श्रीमान्,śrīmān,He who is always courted by glories
179,अमेयात्मा,ameyātmā,He whose essence is immeasurable
180,महाद्रिधृक्,mahādridhṛk,He who supports the great mountain
181,महेष्वासः,maheṣvāsaḥ,He who wields shaarnga
182,महीभर्ता,mahībhartā,The husband of mother earth
183,श्रीनिवासः,śrīnivāsaḥ,The permanent abode of Shree
184,सतां गतिः,satāṃ gatiḥ,The goal for all virtuous people
185,अनिरुद्धः,aniruddhaḥ,He who cannot be obstructed
186,सुरानन्दः,surānandaḥ,He who gives out happiness
187,गोविन्दः,govindaḥ,The protector of the Cows.
188,गोविदां-पतिः,govidāṃ-patiḥ,The Lord of all men of wisdom
189,मरीचिः,marīciḥ,Effulgence
190,दमनः,damanaḥ,He who controls rakshasas
191,हंसः,haṃsaḥ,The swan
192,सुपर्णः,suparṇaḥ,Beautiful-winged (Two birds analogy)
193,भुजगोत्तमः,bhujagottamaḥ,The serpent Ananta
194,हिरण्यनाभः,hiraṇyanābhaḥ,He who has a golden navel
195,सुतपाः,sutapāḥ,He who has glorious tapas
196,पद्मनाभः,padmanābhaḥ,He whose navel is like a lotus
197,प्रजापतिः,prajāpatiḥ,He from whom all creatures emerge
198,अमृत्युः,amṛtyuḥ,He who knows no death
199,सर्वदृक्,sarvadṛk,The seer of everything
200,सिंहः,siṃhaḥ,He who destroys
201,सन्धाता,sandhātā,The regulator
202,सन्धिमान्,sandhimān,He who seems to be conditioned
203,स्थिरः,sthiraḥ,Steady
204,अजः,ajaḥ,"He who takes the form of Aja, Brahma"
205,दुर्मषणः,durmaṣaṇaḥ,He who cannot be vanquished
206,शास्ता,śāstā,He who rules over the universe
207,विश्रुतात्मा,viśrutātmā,"He who is celebrated, most famous and heard about by one and all."
208,सुरारिहा,surārihā,Destroyer of the enemies of the devas
209,गुरुः,guruḥ,The teacher
210,गुरुतमः,gurutamaḥ,The greatest teacher
211,धाम,dhāma,The goal
212,सत्यः,satyaḥ,He who is Himself the truth
213,सत्यपराक्रमः,satyaparākramaḥ,Dynamic Truth
214,निमिषः,nimiṣaḥ,He who has closed eyes in contemplation
215,अनिमिषः,animiṣaḥ,He who remains unwinking; ever knowing
216,स्रग्वी,sragvī,He who always wears a garland of undecaying flowers
217,वाचस्पतिः-उदारधीः,vācaspatiḥ-udāradhīḥ,He who is eloquent in championing the Supreme law of life; He with a large-hearted intelligence
218,अग्रणीः,agraṇīḥ,He who guides us to the peak
219,ग्रामणीः,grāmaṇīḥ,He who leads the flock
220,श्रीमान्,śrīmān,"The possessor of light, effulgence, glory"
221,न्यायः,nyāyaḥ,Justice
222,नेता,netā,The leader
223,समीरणः,samīraṇaḥ,He who sufficiently administers all movements of all living creatures
224,सहस्रमूर्धा,sahasramūrdhā,He who has endless heads
225,विश्वात्मा,viśvātmā,The soul of the universe
226,सहस्राक्षः,sahasrākṣaḥ,Thousands of eyes
227,सहस्रपात्,sahasrapāt,Thousand-footed
228,आवर्तनः,āvartanaḥ,The unseen dynamism
229,निवृत्तात्मा,nivṛttātmā,The soul retreated from matter
230,संवृतः,saṃvṛtaḥ,He who is veiled from the jiva
231,संप्रमर्दनः,saṃpramardanaḥ,He who persecutes evil men
232,अहः संवर्तकः,ahaḥ saṃvartakaḥ,He who thrills the day and makes it function vigorously
233,वह्निः,vahniḥ,Fire
234,अनिलः,anilaḥ,Air
235,धरणीधरः,dharaṇīdharaḥ,He who supports the earth
236,सुप्रसादः,suprasādaḥ,Fully satisfied
237,प्रसन्नात्मा,prasannātmā,Ever pure and all-blissful self
238,विश्वधृक्,viśvadhṛk,Supporter of the world
239,विश्वभुक्,viśvabhuk,He who enjoys all experiences
240,विभुः,vibhuḥ,He who manifests in endless forms
241,सत्कर्ता,satkartā,He who adores good and wise people
242,सत्कृतः,satkṛtaḥ,He who is adored by all good people
243,साधुः,sādhuḥ,He who lives by the righteous codes
244,जह्नुः,jahnuḥ,Leader of men
245,नारायणः,nārāyaṇaḥ,He who resides on the waters
246,नरः,naraḥ,The guide
247,असंख्येयः,asaṃkhyeyaḥ,He who has numberless names and forms
248,अप्रमेयात्मा,aprameyātmā,A soul not known through the pramanas
249,विशिष्टः,viśiṣṭaḥ,He who transcends all in His glory
250,शिष्टकृत्,śiṣṭakṛt,The lawmaker
251,शुचिः,śuciḥ,He who is pure
252,सिद्धार्थः,siddhārthaḥ,He who has all arthas
253,सिद्धसंकल्पः,siddhasaṃkalpaḥ,He who gets all He wishes for
254,सिद्धिदः,siddhidaḥ,The giver of benedictions
255,सिद्धिसाधनः,siddhisādhanaḥ,The power behind our sadhana
256,वृषाही,vṛṣāhī,Controller of all actions
257,वृषभः,vṛṣabhaḥ,He who showers all dharmas
258,विष्णुः,viṣṇuḥ,Long-striding
259,वृषपर्वा,vṛṣaparvā,The ladder leading to dharma (As well as dharma itself)
260,वृषोदरः,vṛṣodaraḥ,He from whose belly life showers forth
261,वर्धनः,vardhanaḥ,The nurturer and nourisher
262,वर्धमानः,vardhamānaḥ,He who can grow into any dimension
263,विविक्तः,viviktaḥ,Separate
264,श्रुतिसागरः,śrutisāgaraḥ,The ocean for all scripture
265,सुभुजः,subhujaḥ,He who has graceful arms
266,दुर्धरः,durdharaḥ,He who cannot be known by great yogis
267,वाग्मी,vāgmī,He who is eloquent in speech
268,महेन्द्रः,mahendraḥ,The lord of Indra
269,वसुदः,vasudaḥ,He who gives all wealth
270,वसुः,vasuḥ,He who is Wealth
271,नैकरूपः,naikarūpaḥ,He who has unlimited forms
272,बृहद्रूपः,bṛhadrūpaḥ,"Vast, of infinite dimensions"
273,शिपिविष्टः,śipiviṣṭaḥ,The presiding deity of the sun
274,प्रकाशनः,prakāśanaḥ,He who illuminates
275,ओजस्तेजोद्युतिधरः,ojastejodyutidharaḥ,"The possessor of vitality, effulgence and beauty"
276,प्रकाशात्मा,prakāśātmā,The effulgent self
277,प्रतापनः,pratāpanaḥ,Thermal energy; one who heats
278,ऋद्धः,ṛddhaḥ,Full of prosperity
279,स्पष्टाक्षरः,spaṣṭākṣaraḥ,One who is indicated by OM
280,मन्त्रः,mantraḥ,The nature of the Vedic mantras
281,चन्द्रांशुः,candrāṃśuḥ,The rays of the moon
282,भास्करद्युतिः,bhāskaradyutiḥ,The effulgence of the sun
283,अमृतांशोद्भवः,amṛtāṃśodbhavaḥ,The Paramatman from whom Amrutamshu or the Moon originated at the time of the churning of the Milk-ocean.[27]
284,भानुः,bhānuḥ,Self-effulgent
285,शशबिन्दुः,śaśabinduḥ,The moon who has a rabbit-like spot
286,सुरेश्वरः,sureśvaraḥ,A person of extreme charity
287,औषधम्,auṣadham,Medicine
288,जगतः सेतुः,jagataḥ setuḥ,A bridge across the material energy
289,सत्यधर्मपराक्रमः,satyadharmaparākramaḥ,One who champions heroically for truth and righteousness
290,भूतभव्यभवन्नाथः,bhūtabhavyabhavannāthaḥ,"The Lord of past, present and future"
291,पवनः,pavanaḥ,The air that fills the universe
292,पावनः,pāvanaḥ,He who gives life-sustaining power to air
293,अनलः,analaḥ,Fire
294,कामहा,kāmahā,He who destroys all desires
295,कामकृत्,kāmakṛt,He who fulfills all desires
296,कान्तः,kāntaḥ,He who is of enchanting form
297,कामः,kāmaḥ,The beloved
298,कामप्रदः,kāmapradaḥ,He who supplies desired objects
299,प्रभुः,prabhuḥ,The Lord
300,युगादिकृत्,yugādikṛt,The creator of the yugas
301,युगावर्तः,yugāvartaḥ,The law behind time
302,नैकमायः,naikamāyaḥ,He whose forms are endless and varied
303,महाशनः,mahāśanaḥ,He who eats up everything
304,अदृश्यः,adṛśyaḥ,Imperceptible
305,व्यक्तरूपः,vyaktarūpaḥ,He who is perceptible to the yogi
306,सहस्रजित्,sahasrajit,He who vanquishes thousands
307,अनन्तजित्,anantajit,Ever-victorious
308,इष्टः,iṣṭaḥ,He who is invoked through Vedic rituals
309,विशिष्टः,viśiṣṭaḥ,The noblest and most sacred
310,शिष्टेष्टः,śiṣṭeṣṭaḥ,The greatest beloved
311,शिखंडी,śikhaṃḍī,Incarnation as Lord Krishna with a peacock feather embedded in his crown. Shikhandee
312,नहुषः,nahuṣaḥ,He who binds all with maya
313,वृषः,vṛṣaḥ,He who is dharma
314,क्रोधहा,krodhahā,He who destroys anger
315,क्रोधकृत्कर्ता,krodhakṛtkartā,He who generates anger against the lower tendency
316,विश्वबाहुः,viśvabāhuḥ,He whose hand is in everything
317,महीधरः,mahīdharaḥ,The support of the earth
318,अच्युतः,acyutaḥ,He who undergoes no changes
319,प्रथितः,prathitaḥ,He who exists pervading all
320,प्राणः,prāṇaḥ,The prana in all living creatures
321,प्राणदः,prāṇadaḥ,He who gives prana
322,वासवानुजः,vāsavānujaḥ,The brother of Indra
323,अपां-निधिः,apāṃ-nidhiḥ,Treasure of waters (the ocean)
324,अधिष्ठानम्,adhiṣṭhānam,The substratum of the entire universe
325,अप्रमत्तः,apramattaḥ,He who never makes a wrong judgement
326,प्रतिष्ठितः,pratiṣṭhitaḥ,He who has no cause
327,स्कन्दः,skandaḥ,He whose glory is expressed through Subrahmanya
328,स्कन्दधरः,skandadharaḥ,Upholder of withering righteousness
329,धूर्यः,dhūryaḥ,Who carries out creation etc. without hitch
330,वरदः,varadaḥ,He who fulfills boons
331,वायुवाहनः,vāyuvāhanaḥ,Controller of winds
332,वासुदेवः,vāsudevaḥ,Dwelling in all creatures although not affected by that condition
333,बृहद्भानुः,bṛhadbhānuḥ,He who illumines the world with the rays of the sun and moon
334,आदिदेवः,ādidevaḥ,The primary source of everything
335,पुरन्दरः,purandaraḥ,Destroyer of cities
336,अशोकः,aśokaḥ,He who has no sorrow
337,तारणः,tāraṇaḥ,He who enables others to cross
338,तारः,tāraḥ,He who saves
339,शूरः,śūraḥ,The valiant
340,शौरिः,śauriḥ,He who incarnated in the dynasty of Shoora
341,जनेश्वरः,janeśvaraḥ,The Lord of the people
342,अनुकूलः,anukūlaḥ,Well-wisher of everyone
343,शतावर्तः,śatāvartaḥ,He who takes infinite forms
344,पद्मी,padmī,He who holds a lotus
345,पद्मनिभेक्षणः,padmanibhekṣaṇaḥ,Lotus-eyed
346,पद्मनाभः,padmanābhaḥ,He who has a lotus-navel
347,अरविन्दाक्षः,aravindākṣaḥ,He who has eyes as beautiful as the lotus
348,पद्मगर्भः,padmagarbhaḥ,He who is being meditated upon in the lotus of the heart
349,शरीरभृत्,śarīrabhṛt,He who sustains all bodies
350,महर्द्धिः,maharddhiḥ,One who has great prosperity
351,ऋद्धः,ṛddhaḥ,He who has expanded Himself as the universe
352,वृद्धात्मा,vṛddhātmā,The ancient self
353,महाक्षः,mahākṣaḥ,The great-eyed
354,गरुडध्वजः,garuḍadhvajaḥ,One who has Garuda on His flag
355,अतुलः,atulaḥ,Incomparable
356,शरभः,śarabhaḥ,One who dwells and shines forth through the bodies
357,भीमः,bhīmaḥ,The terrible
358,समयज्ञः,samayajñaḥ,One whose worship is nothing more than keeping an equal vision of the mind by the devotee
359,हविर्हरिः,havirhariḥ,The receiver of all oblation
360,सर्वलक्षणलक्षण्यः,sarvalakṣaṇalakṣaṇyaḥ,Known through all proofs
361,लक्ष्मीवान्,lakṣmīvān,The consort of Laksmi
362,समितिञ्जयः,samitiñjayaḥ,Ever-victorious
363,विक्षरः,vikṣaraḥ,Imperishable
364,रोहितः,rohitaḥ,The fish incarnation
365,मार्गः,mārgaḥ,The path
366,हेतुः,hetuḥ,The cause
367,दामोदरः,dāmodaraḥ,Who has a rope around his stomach
368,सहः,sahaḥ,All-enduring
369,महीधरः,mahīdharaḥ,The bearer of the earth
370,महाभागः,mahābhāgaḥ,He who gets the greatest share in every Yajna
371,वेगवान्,vegavān,He who is swift
372,अमिताशनः,amitāśanaḥ,Of endless appetite
373,उद्भवः,udbhavaḥ,The originator
374,क्षोभणः,kṣobhaṇaḥ,The agitator
375,देवः,devaḥ,He who revels
376,श्रीगर्भः,śrīgarbhaḥ,He in whom are all glories
377,परमेश्वरः,parameśvaraḥ,"Parama + Ishvara = Supreme Lord, Parama (MahaLakshmi i.e. above all the shaktis) + Ishvara (Lord) = Lord of MahaLakshmi"
378,करणम्,karaṇam,The instrument
379,कारणम्,kāraṇam,The cause
380,कर्ता,kartā,The doer
381,विकर्ता,vikartā,Creator of the endless varieties that make up the universe
382,गहनः,gahanaḥ,The unknowable
383,गुहः,guhaḥ,He who dwells in the cave of the heart
384,व्यवसायः,vyavasāyaḥ,Resolute
385,व्यवस्थानः,vyavasthānaḥ,The substratum
386,संस्थानः,saṃsthānaḥ,The ultimate authority
387,स्थानदः,sthānadaḥ,He who confers the right abode
388,ध्रुवः,dhruvaḥ,The changeless in the midst of changes
389,परर्धिः,parardhiḥ,He who has supreme manifestations
390,परमस्पष्टः,paramaspaṣṭaḥ,The extremely vivid
391,तुष्टः,tuṣṭaḥ,One who is contented with a very simple offering
392,पुष्टः,puṣṭaḥ,One who is ever-full
393,शुभेक्षणः,śubhekṣaṇaḥ,All-auspicious gaze
394,रामः,rāmaḥ,One who is most handsome
395,विरामः,virāmaḥ,The abode of perfect-rest
396,विरजः,virajaḥ,Passionless
397,मार्गः,mārgaḥ,The path
398,नेयः,neyaḥ,The guide
399,नयः,nayaḥ,One who leads
400,अनयः,anayaḥ,One who has no leader
401,वीरः,vīraḥ,The valiant
402,शक्तिमतां श्रेष्ठः,śaktimatāṃ śreṣṭhaḥ,The best among the powerful
403,धर्मः,dharmaḥ,The law of being
404,धर्मविदुत्तमः,dharmaviduttamaḥ,The highest among men of realisation
405,वैकुण्ठः,vaikuṇṭhaḥ,"Lord of supreme abode, Vaikuntha"
406,पुरुषः,puruṣaḥ,One who dwells in all bodies
407,प्राणः,prāṇaḥ,Life
408,प्राणदः,prāṇadaḥ,Giver of life
409,प्रणवः,praṇavaḥ,He who is praised by the gods
410,पृथुः,pṛthuḥ,The expanded
411,हिरण्यगर्भः,hiraṇyagarbhaḥ,The creator
412,शत्रुघ्नः,śatrughnaḥ,The destroyer of enemies
413,व्याप्तः,vyāptaḥ,The pervader
414,वायुः,vāyuḥ,The air
415,अधोक्षजः,adhokṣajaḥ,One whose vitality never flows downwards
416,ऋतुः,ṛtuḥ,The seasons
417,सुदर्शनः,sudarśanaḥ,He whose meeting is auspicious
418,कालः,kālaḥ,He who judges and punishes beings
419,परमेष्ठी,parameṣṭhī,One who is readily available for experience within the heart
420,परिग्रहः,parigrahaḥ,The receiver
421,उग्रः,ugraḥ,The terrible
422,संवत्सरः,saṃvatsaraḥ,The year
423,दक्षः,dakṣaḥ,The smart
424,विश्रामः,viśrāmaḥ,The resting place
425,विश्वदक्षिणः,viśvadakṣiṇaḥ,The most skilful and efficient
426,विस्तारः,vistāraḥ,The extension
427,स्थावरस्स्थाणुः,sthāvarassthāṇuḥ,The firm and motionless
428,प्रमाणम्,pramāṇam,The proof
429,बीजमव्ययम्,bījamavyayam,The Immutable Seed
430,अर्थः,arthaḥ,He who is worshiped by all
431,अनर्थः,anarthaḥ,One to whom there is nothing yet to be fulfilled
432,महाकोशः,mahākośaḥ,He who has got around him great sheaths
433,महाभोगः,mahābhogaḥ,He who is of the nature of enjoyment
434,महाधनः,mahādhanaḥ,He who is supremely rich
435,अनिर्विण्णः,anirviṇṇaḥ,He who has no discontent
436,स्थविष्ठः,sthaviṣṭhaḥ,One who is supremely huge
437,अभूः,abhūḥ,One who has no birth
438,धर्मयूपः,dharmayūpaḥ,The post to which all dharma is tied
439,महामखः,mahāmakhaḥ,The great sacrificer
440,नक्षत्रनेमिः,nakṣatranemiḥ,The nave of the stars
441,नक्षत्री,nakṣatrī,The Lord of the stars (the moon)
442,क्षमः,kṣamaḥ,He who is supremely efficient in all undertakings
443,क्षामः,kṣāmaḥ,He who ever remains without any scarcity
444,समीहनः,samīhanaḥ,One whose desires are auspicious
445,यज्ञः,yajñaḥ,One who is of the nature of yajna
446,इज्यः,ijyaḥ,He who is fit to be invoked through yajna
447,महेज्यः,mahejyaḥ,One who is to be most worshiped
448,क्रतुः,kratuḥ,The animal-sacrifice
449,सत्रम्,satram,Protector of the good
450,सतां-गतिः,satāṃ-gatiḥ,Refuge of the good
451,सर्वदर्शी,sarvadarśī,All-knower
452,विमुक्तात्मा,vimuktātmā,The ever-liberated self
453,सर्वज्ञः,sarvajñaḥ,Omniscient
454,ज्ञानमुत्तमम्,jñānamuttamam,The Supreme Knowledge
455,सुव्रतः,suvrataḥ,He who ever-performing the pure vow
456,सुमुखः,sumukhaḥ,One who has a charming face
457,सूक्ष्मः,sūkṣmaḥ,The subtlest
458,सुघोषः,sughoṣaḥ,Of auspicious sound
459,सुखदः,sukhadaḥ,Giver of happiness
460,सुहृत्,suhṛt,Friend of all creatures
461,मनोहरः,manoharaḥ,The stealer of the mind
462,जितक्रोधः,jitakrodhaḥ,One who has conquered anger
463,वीरबाहुः,vīrabāhuḥ,Having mighty arms
464,विदारणः,vidāraṇaḥ,One who splits asunder
465,स्वापनः,svāpanaḥ,One who puts people to sleep
466,स्ववशः,svavaśaḥ,He who has everything under His control
467,व्यापी,vyāpī,All-pervading
468,नैकात्मा,naikātmā,Many souled
469,नैककर्मकृत्,naikakarmakṛt,One who does many actions
470,वत्सरः,vatsaraḥ,The abode
471,वत्सलः,vatsalaḥ,The supremely affectionate
472,वत्सी,vatsī,The father
473,रत्नगर्भः,ratnagarbhaḥ,The jewel-wombed
474,धनेश्वरः,dhaneśvaraḥ,The Lord of wealth
475,धर्मगुब्,dharmagub,One who protects dharma
476,धर्मकृत्,dharmakṛt,One who acts according to dharma
